,artist,track
1789,"Anitta, Lexa, Luísa Sonza",Combatchy (feat. MC Rebecca)
1790,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",Bellaquita - Remix
1791,The Weeknd,Blinding Lights
1792,Capital Bra,Der Bratan bleibt der gleiche
1793,Paul McCartney,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version
1794,Chris Rea,Driving Home for Christmas - 2019 Remaster
1795,Ozuna,Fantasía
1796,Don Toliver,No Idea
1797,"Gradur, Heuss L'enfoiré",Ne reviens pas
1798,Dean Martin,Let It Snow! Let It Snow! Let It Snow!
1799,Shakin' Stevens,Merry Christmas Everyone
1800,Roddy Ricch,Tip Toe (feat. A Boogie Wit da Hoodie)
1801,"Idina Menzel, Evan Rachel Wood",Show Yourself
1802,Panic! At The Disco,Into the Unknown - Panic! At The Disco Version
1803,Mariah Carey,Christmas (Baby Please Come Home)
1804,Harry Styles,Adore You
1805,Camila Cabello,My Oh My (feat. DaBaby)
1806,Juice WRLD,Legends
1807,Juice WRLD,Lean Wit Me
1808,"The Chainsmokers, Kygo",Family
1809,"Nimo, Hava",KEIN SCHLAF
1810,Samra,COLT
1811,"Halsey, SUGA, BTS",SUGA's Interlude
1812,"The Chainsmokers, ILLENIUM, Lennon Stella",Takeaway
1813,Taylor Swift,Christmas Tree Farm
1814,XXXTENTACION,Ex Bitch
1815,Roddy Ricch,Peta (feat. Meek Mill)
1816,Darlene Love,Christmas (Baby Please Come Home)
1817,Roddy Ricch,Start Wit Me (feat. Gunna)
1818,Lil Uzi Vert,Futsal Shuffle 2020
1819,Harry Styles,Falling
1820,Roddy Ricch,The Box
1821,Harry Styles,Golden
1822,Harry Styles,Cherry
1823,Harry Styles,She
1824,Harry Styles,To Be So Lonely
1825,Harry Styles,"Sunflower, Vol. 6"
1826,Harry Styles,Fine Line
1827,Harry Styles,Treat People With Kindness
1828,Harry Styles,Canyon Moon
1829,Juice WRLD,Let Me Know (I Wonder Why Freestyle)
1830,SAINt JHN,Roses - Imanbek Remix
1831,Jonas Brothers,Like It's Christmas
1832,Henrique & Juliano,Liberdade Provisória
1833,"Ariana Grande, Liz Gillies",Santa Baby
1834,Leona Lewis,One More Sleep
1835,Tony Bennett,Winter Wonderland
1836,The Jackson 5,I Saw Mommy Kissing Santa Claus
1837,"Dímelo Flow, Arcangel, Sech",Sigues Con El
1838,Gwen Stefani,You Make It Feel Like Christmas (feat. Blake Shelton)
1839,Michael Bublé,I'll Be Home for Christmas
1840,Stevie Wonder,What Christmas Means To Me
1841,YNW Melly,Suicidal
1842,Dean Martin,"Baby, It's Cold Outside"
1843,Brett Eldredge,"Baby, It's Cold Outside (feat. Meghan Trainor)"
1844,Dean Martin,Rudolph The Red-Nosed Reindeer
1845,Nat King Cole,Joy To The World
1846,Frank Sinatra,Mistletoe And Holly - Remastered 1999
1847,Frank Sinatra,Jingle Bells - Remastered 1999
1848,Bing Crosby,It's Beginning To Look Like Christmas
1849,Donny Hathaway,This Christmas
1850,Ella Fitzgerald,Sleigh Ride
1851,Bing Crosby,Do You Hear What I Hear?
1852,Liam Payne,All I Want (For Christmas)
1853,Ariana Grande,Last Christmas
1854,Katy Perry,Cozy Little Christmas
1855,Train,Shake Up Christmas
1856,Céline Dion,Happy Xmas (War Is Over)
1857,Michael Bublé,All I Want for Christmas Is You
1858,Alessia Cara,Make It To Christmas
1859,Young Thug,Hop Off A Jet (feat. Travis Scott)
1860,Red Velvet,Psycho
1861,Bruno Mars,Finesse - Remix; feat. Cardi B
1862,Justin Timberlake,Filthy
1863,"Keala Settle, The Greatest Showman Ensemble",This Is Me
1864,Liam Payne,For You (Fifty Shades Freed) (& Rita Ora)
1865,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman Ensemble",The Greatest Show
1866,Loren Allred,Never Enough
1867,"Ziv Zaifman, Hugh Jackman, Michelle Williams",A Million Dreams
1868,Migos,Stir Fry
1869,"Hugh Jackman, Zac Efron",The Other Side
1870,"Zedd, Alessia Cara",Stay
1871,"Hugh Jackman, Keala Settle, Daniel Everidge, Zendaya, The Greatest Showman Ensemble",Come Alive
1872,Lil Skies,Nowadays (feat. Landon Cube)
1873,"Ozuna, Cardi B",La Modelo
1874,"Hugh Jackman, The Greatest Showman Ensemble",From Now On
1875,Lil Pump,Designer
1876,"Juan Magán, Belinda, Manuel Turizo, Snova, B-Case",Déjate Llevar
1877,"SZA, Calvin Harris",The Weekend - Funk Wav Remix
1878,"Ozuna, J Balvin",Quiero Repetir
1879,Matt Terry,Sucker for You
1880,Ozuna,Síguelo Bailando
1881,Michelle Williams,Tightrope
1882,Troye Sivan,My My My!
1883,Enrique Iglesias,EL BAÑO (feat. Bad Bunny)
1884,Camila Cabello,She Loves Control
1885,"Marshmello, Lil Peep",Spotlight
1886,Camila Cabello,All These Years
1887,Camila Cabello,Consequences
1888,Camila Cabello,In the Dark
1889,Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)"
1890,Camila Cabello,Into It
1891,The Cranberries,Zombie
1892,Camila Cabello,Something's Gotta Give
1893,Camila Cabello,Inside Out
1894,Lean Trap,La Modelo
1895,Danny Ocean,Dembow
1896,"Jax Jones, Ina Wroldsen",Breathe
1897,The Cranberries,Linger
1898,The Chainsmokers,Sick Boy
1899,Drake,Diplomatic Immunity
1900,"J Balvin, Jeon, Anitta",Machika
1901,"6ix9ine, Fetty Wap, A Boogie Wit da Hoodie",KEKE
1902,Sfera Ebbasta,Cupido (feat. Quavo)
1903,Justin Timberlake,Supplies
1904,Daddy Yankee,Dura
1905,Sfera Ebbasta,Rockstar
1906,"Hailee Steinfeld, BloodPop®",Capital Letters
1907,Sfera Ebbasta,Sciroppo (feat. DrefGold)
1908,"Carnage, Lil Pump",i Shyne
1909,Ramz,Barking
1910,Lean Trap,Scooby Doo Papa!
1911,Cashmere Cat,Miss You (with Major Lazer & Tory Lanez)
1912,Sfera Ebbasta,Ricchi x Sempre
1913,Manuel Turizo,Esperándote
1914,Migos,Narcos
1915,"Migos, Drake",Walk It Talk It
1916,Justin Timberlake,Say Something (feat. Chris Stapleton)
1917,"Migos, 21 Savage",BBO (Bad Bitches Only)
1918,"Migos, Post Malone",Notice Me
1919,Migos,Gang Gang
1920,Migos,Supastars
1921,"Migos, Travis Scott, Ty Dolla $ign, Big Sean",White Sand
1922,"Ozuna, Mambo Kingz, DJ Luian, Bad Bunny, Wisin, Almighty",Solita
1923,Migos,Emoji A Chain
1924,Migos,Higher We Go - Intro
1925,Dj Kass,Scooby Doo Pa Pa
1926,Migos,Auto Pilot
1927,"Migos, Gucci Mane",CC
1928,Migos,Too Much Jewelry
1929,Ghali,Cara Italia
1930,The Weeknd,Pray For Me (with Kendrick Lamar)
1931,Justin Timberlake,Man of the Woods
1932,"Ozuna, Romeo Santos",El Farsante - Remix
1933,YBN Nahmir,Bounce Out With That
1934,ScHoolboy Q,X (with 2 Chainz & Saudi)
1935,Khalid,The Ways (with Swae Lee)
1936,Kendrick Lamar,Black Panther
1937,Kendrick Lamar,Big Shot (with Travis Scott)
1938,SOB X RBE,Paramedic!
1939,Vince Staples,Opps (with Yugen Blakrok)
1940,Julia Michaels,Heaven
1941,Jorja Smith,I Am
1942,Ab-Soul,Bloody Waters (with Anderson .Paak & James Blake)
1943,Calvin Harris,Nuh Ready Nuh Ready (feat. PARTYNEXTDOOR)
1944,Zacari,Redemption (with Babes Wodumo)
1945,Mozzy,Seasons (with Sjava & Reason)
1946,MC Loma e As Gêmeas Lacração,Envolvimento
1947,Zacari,Redemption Interlude
1948,Bad Bunny,Amorfoda
1949,The Chainsmokers,You Owe Me
1950,Reik,Me Niego (feat. Ozuna & Wisin)
1951,Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)"
1952,Tom Walker,Leave a Light On
1953,Lil Skies,Red Roses (feat. Landon Cube)
1954,Logic,44 More
1955,5 Seconds of Summer,Want You Back
1956,6ix9ine,BILLY
1957,"6ix9ine, Tory Lanez, Young Thug",RONDO
1958,"David Guetta, Martin Garrix, Brooks",Like I Do
1959,Imagine Dragons,Next To Me
1960,Lauv,Getting Over You
1961,"A$AP Rocky, Gucci Mane, 21 Savage",Cocky (feat. London On Da Track)
1962,Maroon 5,Wait (feat. A Boogie Wit da Hoodie)
1963,"Nicky Jam, J Balvin",X
1964,"DJ Khaled, JAY-Z","Top Off (feat. JAY Z, Future & Beyoncé)"
1965,"Rae Sremmurd, Swae Lee, Slim Jxmmi",Powerglide (feat. Juicy J)
1966,"Sean Paul, David Guetta, Becky G",Mad Love
1967,Rich The Kid,Plug Walk
1968,Bad Bunny,Dime Si Te Acuerdas
1969,Bazzi,Beautiful
1970,CNCO,Mamita
1971,Logic,Contra
1972,Logic,Overnight
1973,"Logic, Wiz Khalifa",Indica Badu
1974,Logic,Midnight
1975,"Lil Yachty, Trippie Redd",66
1976,"Logic, Big Sean",Wassup
1977,Logic,Yuck
1978,Logic,BoomTrap Protocol
1979,"Logic, Young Sinatra",Warm It Up
1980,Logic,Wizard Of Oz
1981,"Logic, 2 Chainz",State Of Emergency
1982,DJ A1,Bounce Out With That FT. YBN Nahmir
1983,Maluma,El Préstamo
1984,Logic,Grandpa's Space Ship
1985,J Balvin,Ahora
1986,Years & Years,Sanctify
1987,Lil Dicky,Freaky Friday (feat. Chris Brown)
1988,XXXTENTACION,the remedy for a broken heart (why am I so in love)
1989,XXXTENTACION,NUMB
1990,XXXTENTACION,going down!
1991,The Chainsmokers,Everybody Hates Me
1992,"Kygo, Miguel",Remind Me to Forget
1993,XXXTENTACION,infinity (888) - feat. Joey Bada$$
1994,XXXTENTACION,"I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii"
1995,XXXTENTACION,Hope
1996,XXXTENTACION,$$$ - with Matt Ox
1997,XXXTENTACION,"ALONE, PART 3"
1998,XXXTENTACION,Floor 555
1999,Charlie Puth,Done For Me (feat. Kehlani)
2000,XXXTENTACION,SMASH! - feat. PnB Rock
2001,XXXTENTACION,before I close my eyes
2002,Dennis Lloyd,Nevermind
2003,XXXTENTACION,Pain = BESTFRIEND - feat. Travis Barker
2004,King Princess,1950
2005,XXXTENTACION,love yourself (interlude)
2006,"KHEA, Bad Bunny, Duki, Cazzu",Loca Remix
2007,Zion & Lennox,La player (Bandolera)
2008,XXXTENTACION,schizophrenia
2009,"N.E.R.D, Rihanna",Lemon (feat. Drake) - Drake Remix
2010,"David Guetta, Sia",Flames
2011,Famous Dex,JAPAN
2012,Panic! At The Disco,Say Amen (Saturday Night)
2013,"Piso 21, Paulo Londra",Te Amo
2014,Prince Royce,El Clavo
2015,George Ezra,Paradise
2016,The Weeknd,Try Me
2017,The Weeknd,Wasted Times
2018,"The Weeknd, Gesaffelstein",Hurt You
2019,"The Weeknd, Gesaffelstein",I Was Never There
2020,The Weeknd,Privilege
2021,Cardi B,Be Careful
2022,A$AP Rocky,Bad Company (feat. BlocBoy JB)
2023,"Tyler, The Creator",OKRA
2024,Anitta,Indecente
2025,Ty Dolla $ign,Pineapple (feat. Gucci Mane & Quavo)
2026,Calum Scott,You Are The Reason
2027,Dan + Shay,Tequila
2028,Rich The Kid,End Of Discussion (feat. Lil Wayne)
2029,"Sabrina Carpenter, Jonas Blue",Alien
2030,Lauv,Chasing Fire
2031,Cardi B,Drip (feat. Migos)
2032,Cardi B,I Do (feat. SZA)
2033,Cardi B,Get Up 10
2034,A$AP Rocky,A$AP Forever (feat. Moby)
2035,Cardi B,Best Life (feat. Chance The Rapper)
2036,Cardi B,Ring (feat. Kehlani)
2037,Cardi B,Bickenhead
2038,KYLE,Playinwitme (feat. Kehlani)
2039,Cardi B,Thru Your Phone
2040,Cardi B,Money Bag
2041,"Cardi B, YG",She Bad
2042,NOTD,I Wanna Know (feat. Bea Miller)
2043,"Poo Bear, Justin Bieber, Jay Electronica",Hard 2 Face Reality
2044,Bomba Estéreo,To My Love - Tainy Remix
2045,Capital Bra,5 Songs in einer Nacht
2046,ZAYN,Let Me
2047,Nicki Minaj,Barbie Tingz
2048,Lil Pump,Esskeetit
2049,Nicki Minaj,Chun-Li
2050,G-Eazy,1942 (feat. Yo Gotti & YBN Nahmir)
2051,"Rae Sremmurd, Swae Lee",Guatemala (feat. Slim Jxmmi) - From Swaecation
2052,6ix9ine,GOTTI
2053,Madison Beer,Home With You
2054,Cosculluela,Madura (feat. Bad Bunny)
2055,KAROL G,Pineapple
2056,Thomas Rhett,Marry Me
2057,"Sigala, Paloma Faith",Lullaby
2058,Sebastian Yatra,No Hay Nadie Más
2059,J. Cole,KOD
2060,J. Cole,ATM
2061,Avicii,Wake Me Up - Radio Edit
2062,J. Cole,Kevin’s Heart
2063,J. Cole,Motiv8
2064,J. Cole,Photograph
2065,J. Cole,1985 - Intro to “The Fall Off”
2066,Avicii,Levels - Radio Edit
2067,Avicii,Waiting For Love
2068,J. Cole,The Cut Off (feat. kiLL edward)
2069,J. Cole,BRACKETS
2070,Avicii,Hey Brother
2071,Avicii,The Nights
2072,J. Cole,Window Pain - Outro
2073,"Khalid, 6LACK, Ty Dolla $ign",OTW
2074,J. Cole,FRIENDS (feat. kiLL edward)
2075,J. Cole,Once an Addict - Interlude
2076,"Liam Payne, J Balvin",Familiar
2077,J. Cole,Intro
2078,"The Chainsmokers, Drew Love",Somebody
2079,Avicii,Broken Arrows
2080,Avicii,For A Better Day
2081,Avicii,You Make Me
2082,Avicii,The Days
2083,"Seeb, Dagny",Drink About
2084,"Banx & Ranx, Ella Eyre",Answerphone (feat. Yxng Bane)
2085,Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit
2086,Avicii,Addicted To You
2087,"Rae Sremmurd, Swae Lee, Slim Jxmmi",CLOSE (feat. Travis Scott) - From SR3MM
2088,Avicii,Silhouettes - Original Radio Edit
2089,Capo Plaza,Tesla (feat. Sfera Ebbasta & DrefGold)
2090,Post Malone,Paranoid
2091,Post Malone,Spoil My Night (feat. Swae Lee)
2092,Post Malone,Rich & Sad
2093,Post Malone,Stay
2094,Post Malone,Over Now
2095,Post Malone,Ball For Me (feat. Nicki Minaj)
2096,Post Malone,Zack And Codeine
2097,Post Malone,Same Bitches (feat. G-Eazy & YG)
2098,Post Malone,Takin' Shots
2099,Post Malone,92 Explorer
2100,Post Malone,Otherside
2101,Post Malone,Blame It On Me
2102,Post Malone,Sugar Wraith
2103,Post Malone,Jonestown (Interlude)
2104,Mason Ramsey,Famous
2105,"Capital Bra, Ufo361",Neymar
2106,"Daddy Yankee, Natti Natasha, Becky G, Bad Bunny",Dura - Remix
2107,Kanye West,Lift Yourself
2108,Kanye West,Ye vs. the People (starring TI as the People)
2109,"MC MM, DJ RD",Só Quer Vrau
2110,"Paulo Londra, Lenny Tavárez",Nena Maldicion (feat. Lenny Tavarez)
2111,Childish Gambino,This Is America
2112,Travis Scott,Watch (feat. Lil Uzi Vert & Kanye West)
2113,Shawn Mendes,Youth (feat. Khalid)
2114,"Rae Sremmurd, Swae Lee, Slim Jxmmi",Powerglide (feat. Juicy J) - From SR3MM
2115,"Sia, Diplo, Labrinth, LSD",Genius
2116,"Charlie Charles, Sfera Ebbasta, Ghali",Peace & Love
2117,"Rae Sremmurd, Swae Lee, Slim Jxmmi",Guatemala - From Swaecation
2118,Jess Glynne,I'll Be There
2119,"Marshmello, Juicy J, James Arthur",You Can Cry
2120,"Sebastian Yatra, Luis Figueroa, Lary Over",Por Perro
2121,Florence + The Machine,Hunger
2122,"Wolfine, Maluma",Bella - Remix
2123,Troye Sivan,Bloom
2124,Rita Ora,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)"
2125,Arctic Monkeys,Four Out Of Five
2126,Arctic Monkeys,Star Treatment
2127,Playboi Carti,Shoota (feat. Lil Uzi Vert)
2128,Arctic Monkeys,One Point Perspective
2129,Charlie Puth,Done for Me (feat. Kehlani)
2130,Arctic Monkeys,Tranquility Base Hotel & Casino
2131,"Sia, Diplo, Labrinth, LSD",Audio
2132,Arctic Monkeys,American Sports
2133,Netta,Toy
2134,John Mayer,New Light
2135,Arctic Monkeys,Golden Trunks
2136,Arctic Monkeys,The World's First Ever Monster Truck Front Flip
2137,Alvaro Soler,La Cintura
2138,Eleni Foureira,Fuego
2139,Ty Dolla $ign,Clout (feat. 21 Savage)
2140,Tee Grizzley,Jettski Grizzley (feat. Lil Pump)
2141,"Leslie Grace, Noriel",Duro y Suave
2142,Arctic Monkeys,Science Fiction
2143,Selena Gomez,Back To You
2144,BTS,FAKE LOVE
2145,"Pharrell Williams, Camila Cabello",Sangria Wine
2146,"BTS, Steve Aoki",The Truth Untold
2147,BTS,Airplane pt.2
2148,Maluma,Corazón (feat. Nego do Borel)
2149,BTS,Anpanman
2150,BTS,Paradise
2151,BTS,Magic Shop
2152,BTS,Love Maze
2153,Diplo,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2"
2154,BTS,134340
2155,Shawn Mendes,Where Were You In The Morning?
2156,BTS,Intro: Singularity
2157,BTS,So What
2158,NAV,Champion (feat. Travis Scott)
2159,BTS,Outro: Tear
2160,OneRepublic,Start Again (feat. Logic)
2161,Shawn Mendes,Youth feat. Khalid
2162,Shawn Mendes,Nervous
2163,Drake,I'm Upset
2164,Shawn Mendes,Like To Be You feat. Julia Michaels
2165,Capital Bra,One Night Stand
2166,A$AP Rocky,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)"
2167,Shawn Mendes,Fallin' All In You
2168,"6ix9ine, DJ SpinKing",TATI
2169,J Balvin,Ambiente
2170,Pusha T,If You Know You Know
2171,A$AP Rocky,Fukk Sleep (feat. FKA twigs)
2172,Shawn Mendes,Because I Had You
2173,Shawn Mendes,Mutual
2174,ZAYN,Entertainer
2175,Shawn Mendes,Particular Taste
2176,Shawn Mendes,Why
2177,Shawn Mendes,Perfectly Wrong
2178,Shawn Mendes,Queen
2179,"Pusha T, Kanye West",What Would Meek Do?
2180,A$AP Rocky,Tony Tone
2181,A$AP Rocky,Buck Shots
2182,Ozuna,Unica
2183,A$AP Rocky,Distorted Records
2184,Shawn Mendes,When You're Ready
2185,"Nicky Jam, Will Smith, Era Istrefi",Live It Up - Official Song 2018 FIFA World Cup Russia
2186,Kanye West,All Mine
2187,Kanye West,Yikes
2188,"Kanye West, PARTYNEXTDOOR",Ghost Town
2189,"Kanye West, PARTYNEXTDOOR",Wouldn't Leave
2190,Kanye West,I Thought About Killing You
2191,Kanye West,Violent Crimes
2192,Kanye West,No Mistakes
2193,The 1975,Give Yourself A Try
2194,KAROL G,Mi Cama
2195,"Loud Luxury, Brando",Body
2196,"Matheus & Kauan, Anitta",Ao Vivo E A Cores
2197,Gorillaz,Humility (feat. George Benson)
2198,Years & Years,If You're Over Me
2199,KIDS SEE GHOSTS,Reborn
2200,"KIDS SEE GHOSTS, Pusha T",Feel The Love
2201,"KIDS SEE GHOSTS, Louis Prima",4th Dimension
2202,KIDS SEE GHOSTS,Fire
2203,"KIDS SEE GHOSTS, Ty Dolla $ign",Freeee (Ghost Town Pt. 2)
2204,"KIDS SEE GHOSTS, Yasiin Bey",Kids See Ghosts
2205,KIDS SEE GHOSTS,Cudi Montage
2206,"Shakira, Maluma",Clandestino
2207,Capital Bra,Berlin lebt
2208,Louis The Child,Better Not (feat. Wafia)
2209,Julia Michaels,Jump (with Trippie Redd)
2210,Nicki Minaj,Bed (feat. Ariana Grande)
2211,"Kygo, Imagine Dragons",Born To Be Yours
2212,BLACKPINK,DDU-DU DDU-DU
2213,2 Chainz,Bigger Than You (feat. Drake & Quavo)
2214,Troye Sivan,Dance To This (feat. Ariana Grande)
2215,Alessia Cara,Growing Pains
2216,BLACKPINK,Forever Young
2217,Florida Georgia Line,Simple
2218,"Nas, Kanye West",Cops Shot The Kid
2219,XXXTENTACION,I Don't Wanna Do This Anymore
2220,5 Seconds of Summer,Valentine
2221,Ella Mai,Boo'd Up
2222,"Nas, Diddy, 070 Shake",Not For Radio
2223,The Carters,APESHIT
2224,Ariana Grande,the light is coming (feat. Nicki Minaj)
2225,Demi Lovato,Sober
2226,Lauv,Enemies
2227,Panic! At The Disco,Roaring 20s
2228,Panic! At The Disco,Dancing's Not a Crime
2229,PNL,A l'Ammoniaque
2230,"Drake, Michael Jackson",Don’t Matter To Me
2231,Drake,Emotionless
2232,Drake,Survival
2233,Drake,Elevate
2234,Drake,Mob Ties
2235,Drake,8 Out Of 10
2236,"Drake, JAY-Z",Talk Up
2237,Drake,Can’t Take A Joke
2238,Drake,Sandra’s Rose
2239,Drake,Summer Games
2240,Drake,Blue Tint
2241,Drake,Jaded
2242,Drake,Peak
2243,Drake,Is There More
2244,Drake,Finesse
2245,Drake,That’s How You Feel
2246,"Drake, Static Major, Ty Dolla $ign",After Dark
2247,Drake,Ratchet Happy Birthday
2248,Drake,March 14
2249,Drake,Final Fantasy
2250,"Nicky Jam, J Balvin",X (feat. Maluma & Ozuna) - Remix
2251,Bad Bunny,Estamos Bien
2252,BLACKPINK,DDU-DU DDU-DU - KR Ver.
2253,"Brytiago, Darell",Asesina
2254,YG,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj"
2255,Street Rappers,Estamos Bien
2256,Lil Pump,Drug Addicts
2257,Bushido,Für Euch alle (feat. Samra & Capital Bra)
2258,"Luis Fonsi, Stefflon Don",Calypso
2259,Future,WIFI LIT
2260,Cheat Codes,Only You (with Little Mix)
2261,Justin Timberlake,SoulMate
2262,OneRepublic,Connection
2263,Childish Gambino,Summertime Magic
2264,Justin Quiles,No Quiero Amarte (feat. Zion & Lennox)
2265,Twenty One Pilots,Jumpsuit
2266,Twenty One Pilots,Nico And The Niners
2267,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee)
2268,Juice WRLD,Wasted (feat. Lil Uzi Vert)
2269,Wiz Khalifa,Fr Fr (feat. Lil Skies)
2270,"Rudimental, Major Lazer",Let Me Live (feat. Anne-Marie & Mr Eazi)
2271,NF,Lie
2272,Childish Gambino,Feels Like Summer
2273,Hozier,Take Me to Church
2274,Drake,Don’t Matter To Me (with Michael Jackson)
2275,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz)
2276,Chance the Rapper,I Might Need Security
2277,Anitta,Medicina
2278,"Rvssian, Sfera Ebbasta",Pablo
2279,"Thalia, Natti Natasha",No Me Acuerdo
2280,Chance the Rapper,65th & Ingleside
2281,The 1975,Love It If We Made It
2282,LANY,Thru These Tears
2283,"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",Toda - Remix
2284,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",No Brainer
2285,Tyga,SWISH
2286,Logic,One Day (feat. Ryan Tedder)
2287,"KAROL G, J Balvin, Nicky Jam",Mi Cama - Remix
2288,David Guetta,Don't Leave Me Alone (feat. Anne-Marie)
2289,Don Khuma,Estamos Bien
2290,The Chainsmokers,Side Effects (feat. Emily Warren)
2291,"Alan Walker, Au/Ra, Tomine Harket",Darkside
2292,Tropijazz,Síguelo Bailando
2293,Aitana,TELÉFONO
2294,Trío Los Josefinos,Criminal
2295,"Anuel AA, Zion",Hipócrita
2296,"Kris Kross Amsterdam, The Boy Next Door",Whenever (feat. Conor Maynard)
2297,Travis Scott,CAROUSEL
2298,Travis Scott,WAKE UP
2299,Travis Scott,R.I.P. SCREW
2300,Travis Scott,STOP TRYING TO BE GOD
2301,Travis Scott,NO BYSTANDERS
2302,Travis Scott,5% TINT
2303,Travis Scott,CAN'T SAY
2304,Travis Scott,NC-17
2305,Travis Scott,SKELETONS
2306,Travis Scott,WHO? WHAT!
2307,Travis Scott,ASTROTHUNDER
2308,Travis Scott,HOUSTONFORNICATION
2309,Travis Scott,COFFEE BEAN
2310,Capital Bra,Melodien (feat. Juju)
2311,YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)"
2312,"Bonez MC, RAF Camora",500 PS
2313,Martin Garrix,High On Life (feat. Bonn)
2314,Alvaro Soler,La Cintura (feat. Flo Rida & TINI) - Remix
2315,Paulo Londra,Chica Paranormal
2316,Mac Miller,Self Care
2317,Trippie Redd,Taking A Walk
2318,Nicki Minaj,Barbie Dreams
2319,Nicki Minaj,Majesty (with Labrinth & feat. Eminem)
2320,Quavo,WORKIN ME
2321,J. Cole,Album of the Year - Freestyle
2322,Nicki Minaj,Ganja Burn
2323,Gryffin,Tie Me Down (with Elley Duhé)
2324,PNL,91's
2325,Trippie Redd,Shake It Up
2326,Nicki Minaj,Rich Sex (feat. Lil Wayne)
2327,Trippie Redd,Missing My Idols
2328,Ariana Grande,everytime
2329,Ariana Grande,sweetener
2330,Ariana Grande,R.E.M
2331,Ariana Grande,goodnight n go
2332,Ariana Grande,pete davidson
2333,Ariana Grande,raindrops (an angel cried)
2334,Ariana Grande,successful
2335,Ariana Grande,better off
2336,Ariana Grande,blazed (feat. Pharrell Williams)
2337,Ariana Grande,get well soon
2338,Ariana Grande,borderline (feat. Missy Elliott)
2339,Lele Pons,Celoso
2340,"Young Thug, Young Stoner Life",Chanel (Go Get It) [feat. Gunna & Lil Baby]
2341,The 1975,TOOTIMETOOTIMETOOTIME
2342,Anuel AA,Quiere Beber
2343,Armin van Buuren,Blah Blah Blah
2344,Smokepurpp,Nephew (feat. Lil Pump)
2345,Aretha Franklin,Respect
2346,RIN,Dior 2001
2347,BTS,IDOL
2348,"BTS, Nicki Minaj",IDOL
2349,"Jason Derulo, David Guetta",Goodbye (feat. Nicki Minaj & Willy William)
2350,Ozuna,Me Dijeron
2351,BTS,Euphoria
2352,"Bonez MC, RAF Camora",Risiko
2353,BTS,I'm Fine
2354,Logic,The Return
2355,"Ozuna, Arthur Hanlon",Aura
2356,BTS,Trivia 轉 : Seesaw
2357,Manuel Turizo,Culpables
2358,BTS,Trivia 起 : Just Dance
2359,Bryce Vine,Drew Barrymore
2360,BTS,Serendipity (Full Length Edition)
2361,"Nick Jonas, Robin Schulz",Right Now
2362,Eminem,The Ringer
2363,Eminem,Greatest
2364,"Eminem, Royce Da 5'9""",Not Alike (feat. Royce Da 5'9)
2365,Eminem,Fall
2366,Eminem,Kamikaze
2367,Eminem,Normal
2368,Eminem,Stepping Stone
2369,Eminem,Venom - Music From The Motion Picture
2370,Paul Rosenberg,Paul - Skit
2371,Eminem,Good Guy (feat. Jessie Reyez)
2372,Eminem,Nice Guy (with Jessie Reyez)
2373,Eminem,Em Calls Paul - Skit
2374,Why Don't We,8 Letters
2375,Alesso,REMEDY
2376,Twenty One Pilots,My Blood
2377,Social House,Magic In The Hamptons (feat. Lil Yachty)
2378,Troye Sivan,Lucky Strike
2379,Mac Miller,Ladders
2380,Mac Miller,Hurt Feelings
2381,Mac Miller,Come Back to Earth
2382,"Frenna, Lil Kleine",Verleden Tijd
2383,Machine Gun Kelly,RAP DEVIL
2384,Mac Miller,What's the Use?
2385,Ella Mai,Trip
2386,Mac Miller,Donald Trump
2387,Jess Glynne,All I Am
2388,Russ,The Flute Song
2389,Mac Miller,Weekend (feat. Miguel)
2390,"Lil Baby, Gunna",Drip Too Hard
2391,Lil Uzi Vert,New Patek
2392,"Bonez MC, RAF Camora, Gzuz",Kokain
2393,6LACK,Pretty Little Fears (feat. J. Cole)
2394,Dua Lipa,Want To
2395,"Loredana, Mozzik",BONNIE & CLYDE
2396,"Martin Garrix, Justin Mylo",Burn Out (feat. Dewain Whitmore)
2397,6LACK,Balenciaga Challenge (feat. Offset)
2398,Aminé,REEL IT IN
2399,Marília Mendonça,Ciumeira - Ao Vivo
2400,Lil Skies,Lust
2401,Eminem,Killshot
2402,The Chainsmokers,This Feeling (feat. Kelsea Ballerini)
2403,Salmo,90MIN
